plot,SR_real,year_mean,year_cv,ntrees,total_biomass,gini,H,H_normalized
1012_151,1,2017.14750542299,0.000310086629207432,461,648.513231787,0.689923874143902,0,
1012_2007,2,2022,0,73,114.914563621,0.56140791996175,0.284707191799762,0.945776819256115
1012_2008,1,2022,0,89,207.207199225,0.436927112636005,0,
1012_2009,2,2022,0,89,173.875765098,0.504339451623338,0.300095220901947,0.996894745455608
1013,12,2017.54726622381,0.000457829882114752,1957,97118.176363284,0.907239055959886,0.564641500186054,0.523212854424581
1014,1,2017.58635097493,0.000439702350493076,2154,48962.946312692,0.755059557235534,0,
1015,1,2017.5968,0.000465241172212741,1875,801161.896115944,0.720651382187513,0,
1016,1,2017.41662638956,0.000496266507508412,2069,18251.477963634,0.702760013127505,0,
1017,1,2017.75398406375,0.000375228136056725,2008,333160.453984259,0.781298802066691,0,
1018,1,2017.29931549471,0.000385057273075859,1607,5508.320109739,0.725989527875919,0,
1018_2010,1,2022,0,79,137.359829411,0.468474162002526,0,
1018_2011,1,2022,0,71,62.110700473,0.46699240538216,0,
1018_2012,2,2022,0,97,151.482728288,0.421408141429119,0.258767301737744,0.859606369680807
1018_2013,2,2022,0,90,130.754787935,0.404768786928986,0.281039709530477,0.933593706868276
1019,1,2017.78206724782,0.000564592476066379,803,1011.01520029,0.580104390350919,0,
1019_152,1,2018.34636871508,0.000570326886825048,358,752.671983274,0.846461409814192,0,
1019_153,1,2018.42941176471,0.000603674162235413,340,353.271491723,0.774595972646592,0,
1019_2014,2,2022,0,93,146.846261128,0.51753206439337,0.218191935062939,0.724817919163417
1019_2015,1,2022,0,92,96.316634606,0.464301497533192,0,
102,1,2016.23502994012,0.000343588775233368,668,53008.310780123,0.679967821995593,0,
1020,1,2017.51426307449,0.000541897963531945,1262,6387.183119142,0.551554090251246,0,
1020_154,1,2017.99162011173,0.000680371250562733,358,1462.61937984,0.707875372405328,0,
1020_2016,4,2022,0,98,279.613788944,0.437800061152491,0.588304250091201,0.9771522083598
